Year,Month,State,Location,Food,Species,Illnesses,Hospitalizations,Fatalities,Food_grouped,Species_grouped,primary_location
1998,January,California,Restaurant,Unknown,Unknown,20,0.0,0.0,Unknown,Unknown,Restaurant
1998,January,California,Unknown,Custard,Unknown,112,0.0,0.0,Custard,Unknown,Unknown
1998,January,California,Restaurant,Unknown,Unknown,35,0.0,0.0,Unknown,Unknown,Restaurant
1998,January,California,Restaurant,"Fish, Ahi",Scombroid toxin,4,0.0,0.0,Fish,Scombroid toxin,Restaurant
1998,January,California,Private Home/Residence,"Lasagna, Unspecified; Eggs, Other",Salmonella enterica,26,3.0,0.0,"Lasagna, Unspecified; Eggs, Other",Salmonella enterica,Private Home/Residence
1998,January,California,Restaurant,Unknown,Shigella boydii,25,3.0,0.0,Unknown,Shigella boydii,Restaurant
1998,January,California,Restaurant,Unknown,Unknown,8,0.0,0.0,Unknown,Unknown,Restaurant
1998,January,California,Restaurant,"Stuffing, Unspecified; Sandwich, Turkey",Salmonella enterica,4,3.0,0.0,"Stuffing, Unspecified; Sandwich, Turkey",Salmonella enterica,Restaurant
1998,January,Colorado,Restaurant,"Salad, Unspecified",Virus,21,0.0,0.0,Salad,Virus,Restaurant
1998,January,Colorado,Restaurant,"Peppers, Chili",Virus,3,0.0,0.0,"Peppers, Chili",Virus,Restaurant
1998,January,Colorado,Grocery Store,Unknown,Virus,8,0.0,0.0,Unknown,Virus,Grocery Store
1998,January,Colorado,Restaurant,Unknown,Virus,28,0.0,0.0,Unknown,Virus,Restaurant
1998,January,Colorado,Private Home/Residence,Unknown,Virus,10,0.0,0.0,Unknown,Virus,Private Home/Residence
1998,January,Florida,Restaurant,Chicken Salad,Unknown,2,0.0,0.0,Chicken,Unknown,Restaurant
1998,January,Florida,Restaurant,"Hot Dog, Kielbasa",Unknown,3,0.0,0.0,"Hot Dog, Kielbasa",Unknown,Restaurant
1998,January,Florida,Restaurant,"Ethnic Style, Unspecified",Clostridium perfringens,3,0.0,0.0,"Ethnic Style, Unspecified",Clostridium perfringens,Restaurant
1998,January,Florida,Restaurant,Greek Salad,Norovirus genogroup I,2,0.0,0.0,Salad,Norovirus,Restaurant
1998,January,Florida,Restaurant,"Ground Beef, Cheeseburger",Staphylococcus aureus,2,0.0,0.0,Ground Beef,Staphylococcus aureus,Restaurant
